params,strict_success,loose_success,avg_sim_success,avg_sim_tanimoto,avg_steps
"{'lr': 0.0003, 'gamma': 0.5, 'batch_size': 64, 'hidden_dim': 1024, 'w_tox': 200.0, 'w_flip': 300.0, 'w_pen': 50.0}",0.2753623188405797,0.3069053708439898,0.7341584146948904,0.5722171926335179,1.0
"{'lr': 0.0003, 'gamma': 0.5, 'batch_size': 128, 'hidden_dim': 256, 'w_tox': 100.0, 'w_flip': 150.0, 'w_pen': 25.0}",0.17135549872122763,0.18584825234441602,0.742866736621738,0.45375297631430206,1.0
"{'lr': 0.0003, 'gamma': 0.5, 'batch_size': 128, 'hidden_dim': 256, 'w_tox': 100.0, 'w_flip': 150.0, 'w_pen': 50.0}",0.2310315430520034,0.2566069906223359,0.7337500118913899,0.4895590933995224,1.0
"{'lr': 0.0003, 'gamma': 0.5, 'batch_size': 128, 'hidden_dim': 256, 'w_tox': 100.0, 'w_flip': 200.0, 'w_pen': 25.0}",0.22421142369991476,0.24722932651321397,0.7467137691579382,0.5181723657597782,1.0
"{'lr': 0.0003, 'gamma': 0.5, 'batch_size': 128, 'hidden_dim': 256, 'w_tox': 100.0, 'w_flip': 200.0, 'w_pen': 50.0}",0.2421142369991475,0.2770673486786019,0.7194416053566837,0.4443731811281603,1.0
"{'lr': 0.0003, 'gamma': 0.5, 'batch_size': 128, 'hidden_dim': 256, 'w_tox': 100.0, 'w_flip': 300.0, 'w_pen': 25.0}",0.2958226768968457,0.3435635123614663,0.7149293941591554,0.5037978068322831,1.0
"{'lr': 0.0003, 'gamma': 0.5, 'batch_size': 128, 'hidden_dim': 256, 'w_tox': 100.0, 'w_flip': 300.0, 'w_pen': 50.0}",0.24808184143222506,0.28218243819266836,0.7242491543171854,0.46271810440177197,1.0
"{'lr': 0.0003, 'gamma': 0.5, 'batch_size': 128, 'hidden_dim': 256, 'w_tox': 150.0, 'w_flip': 150.0, 'w_pen': 25.0}",0.26768968456947995,0.30861040068201195,0.7227181402949013,0.5660996681550334,1.0
"{'lr': 0.0003, 'gamma': 0.5, 'batch_size': 128, 'hidden_dim': 256, 'w_tox': 150.0, 'w_flip': 150.0, 'w_pen': 50.0}",0.2463768115942029,0.2728047740835465,0.7380661045861471,0.5258213698286608,1.0
"{'lr': 0.0003, 'gamma': 0.5, 'batch_size': 128, 'hidden_dim': 256, 'w_tox': 150.0, 'w_flip': 200.0, 'w_pen': 25.0}",0.2796248934356351,0.3213981244671782,0.7273689789429006,0.5016246899626481,1.0
"{'lr': 0.0003, 'gamma': 0.5, 'batch_size': 128, 'hidden_dim': 256, 'w_tox': 150.0, 'w_flip': 200.0, 'w_pen': 50.0}",0.29411764705882354,0.32821824381926684,0.725615143232008,0.5481209391900049,1.0
"{'lr': 0.0003, 'gamma': 0.5, 'batch_size': 128, 'hidden_dim': 256, 'w_tox': 150.0, 'w_flip': 300.0, 'w_pen': 25.0}",0.25831202046035806,0.2847399829497016,0.7407172182063634,0.5655567938042909,1.0
"{'lr': 0.0003, 'gamma': 0.5, 'batch_size': 128, 'hidden_dim': 256, 'w_tox': 150.0, 'w_flip': 300.0, 'w_pen': 50.0}",0.23870417732310314,0.2591645353793691,0.7469758411250509,0.5736314966734176,1.0
"{'lr': 0.0003, 'gamma': 0.5, 'batch_size': 128, 'hidden_dim': 256, 'w_tox': 200.0, 'w_flip': 150.0, 'w_pen': 25.0}",0.2907075873827792,0.329923273657289,0.7218038614650066,0.5777496608365975,1.0
"{'lr': 0.0003, 'gamma': 0.5, 'batch_size': 128, 'hidden_dim': 256, 'w_tox': 200.0, 'w_flip': 150.0, 'w_pen': 50.0}",0.26768968456947995,0.2958226768968457,0.7338038203892241,0.549842955618018,1.0
"{'lr': 0.0003, 'gamma': 0.5, 'batch_size': 128, 'hidden_dim': 256, 'w_tox': 200.0, 'w_flip': 200.0, 'w_pen': 25.0}",0.2907075873827792,0.32821824381926684,0.7289326683219696,0.5608271425902104,1.0
"{'lr': 0.0003, 'gamma': 0.5, 'batch_size': 128, 'hidden_dim': 256, 'w_tox': 200.0, 'w_flip': 200.0, 'w_pen': 50.0}",0.28218243819266836,0.319693094629156,0.7249679364331625,0.5005220538190301,1.0
"{'lr': 0.0003, 'gamma': 0.5, 'batch_size': 128, 'hidden_dim': 256, 'w_tox': 200.0, 'w_flip': 300.0, 'w_pen': 25.0}",0.2412617220801364,0.27877237851662406,0.7209270364754031,0.5004979919563349,1.0
"{'lr': 0.0003, 'gamma': 0.5, 'batch_size': 128, 'hidden_dim': 256, 'w_tox': 200.0, 'w_flip': 300.0, 'w_pen': 50.0}",0.2421142369991475,0.26854219948849106,0.7376997655804527,0.4561474677138832,1.0
"{'lr': 0.0003, 'gamma': 0.5, 'batch_size': 128, 'hidden_dim': 512, 'w_tox': 100.0, 'w_flip': 150.0, 'w_pen': 25.0}",0.25404944586530265,0.2753623188405797,0.7464952493641662,0.5448305714292275,1.0
"{'lr': 0.0003, 'gamma': 0.5, 'batch_size': 128, 'hidden_dim': 512, 'w_tox': 100.0, 'w_flip': 150.0, 'w_pen': 50.0}",0.27195225916453536,0.30775788576300084,0.7264114745238065,0.5547680193581536,1.0
"{'lr': 0.0003, 'gamma': 0.5, 'batch_size': 128, 'hidden_dim': 512, 'w_tox': 100.0, 'w_flip': 200.0, 'w_pen': 25.0}",0.2659846547314578,0.29752770673486784,0.7376015808398712,0.5549754293703733,1.0
"{'lr': 0.0003, 'gamma': 0.5, 'batch_size': 128, 'hidden_dim': 512, 'w_tox': 100.0, 'w_flip': 200.0, 'w_pen': 50.0}",0.21994884910485935,0.23785166240409208,0.7578319908060037,0.5317424343467345,1.0
"{'lr': 0.0003, 'gamma': 0.5, 'batch_size': 128, 'hidden_dim': 512, 'w_tox': 100.0, 'w_flip': 300.0, 'w_pen': 25.0}",0.2463768115942029,0.27877237851662406,0.7268591297211116,0.5142029349022139,1.0
"{'lr': 0.0003, 'gamma': 0.5, 'batch_size': 128, 'hidden_dim': 512, 'w_tox': 100.0, 'w_flip': 300.0, 'w_pen': 50.0}",0.28218243819266836,0.329923273657289,0.7201978894211734,0.516747780194359,1.0
"{'lr': 0.0003, 'gamma': 0.5, 'batch_size': 128, 'hidden_dim': 512, 'w_tox': 150.0, 'w_flip': 150.0, 'w_pen': 25.0}",0.30775788576300084,0.35208866155157714,0.7239471651062137,0.5208117409786883,1.0
"{'lr': 0.0003, 'gamma': 0.5, 'batch_size': 128, 'hidden_dim': 512, 'w_tox': 150.0, 'w_flip': 150.0, 'w_pen': 50.0}",0.22506393861892582,0.24381926683716965,0.7586001839055938,0.5336889884344427,1.0
"{'lr': 0.0003, 'gamma': 0.5, 'batch_size': 128, 'hidden_dim': 512, 'w_tox': 150.0, 'w_flip': 200.0, 'w_pen': 25.0}",0.27877237851662406,0.3145780051150895,0.7329523776274501,0.574988404641607,1.0
"{'lr': 0.0003, 'gamma': 0.5, 'batch_size': 128, 'hidden_dim': 512, 'w_tox': 150.0, 'w_flip': 200.0, 'w_pen': 50.0}",0.2864450127877238,0.32651321398124467,0.732201697664363,0.5665051081570144,1.0
"{'lr': 0.0003, 'gamma': 0.5, 'batch_size': 128, 'hidden_dim': 512, 'w_tox': 150.0, 'w_flip': 300.0, 'w_pen': 25.0}",0.19011082693947143,0.20375106564364875,0.7603079846019255,0.5149066054108845,1.0
"{'lr': 0.0003, 'gamma': 0.5, 'batch_size': 128, 'hidden_dim': 512, 'w_tox': 150.0, 'w_flip': 300.0, 'w_pen': 50.0}",0.2958226768968457,0.3307757885763001,0.7305454808708621,0.4953934932584252,1.0
"{'lr': 0.0003, 'gamma': 0.5, 'batch_size': 128, 'hidden_dim': 512, 'w_tox': 200.0, 'w_flip': 150.0, 'w_pen': 25.0}",0.2421142369991475,0.27621483375959077,0.7310013268362114,0.528397624941814,1.0
"{'lr': 0.0003, 'gamma': 0.5, 'batch_size': 128, 'hidden_dim': 512, 'w_tox': 200.0, 'w_flip': 150.0, 'w_pen': 50.0}",0.20375106564364875,0.21739130434782608,0.7629084282520211,0.5540362341367016,1.0
"{'lr': 0.0003, 'gamma': 0.5, 'batch_size': 128, 'hidden_dim': 512, 'w_tox': 200.0, 'w_flip': 200.0, 'w_pen': 25.0}",0.24040920716112532,0.2566069906223359,0.756739561248456,0.5409479399118281,1.0
"{'lr': 0.0003, 'gamma': 0.5, 'batch_size': 128, 'hidden_dim': 512, 'w_tox': 200.0, 'w_flip': 200.0, 'w_pen': 50.0}",0.28815004262574595,0.32395566922421143,0.7348012648923021,0.5706444356127613,1.0
"{'lr': 0.0003, 'gamma': 0.5, 'batch_size': 128, 'hidden_dim': 512, 'w_tox': 200.0, 'w_flip': 300.0, 'w_pen': 25.0}",0.2463768115942029,0.27621483375959077,0.7273858396080167,0.481849743403043,1.0
"{'lr': 0.0003, 'gamma': 0.5, 'batch_size': 128, 'hidden_dim': 512, 'w_tox': 200.0, 'w_flip': 300.0, 'w_pen': 50.0}",0.25404944586530265,0.28218243819266836,0.7412173128059898,0.5477303761729849,1.0
"{'lr': 0.0003, 'gamma': 0.5, 'batch_size': 128, 'hidden_dim': 1024, 'w_tox': 100.0, 'w_flip': 150.0, 'w_pen': 25.0}",0.27621483375959077,0.3103154305200341,0.7285455277645326,0.5610704940775527,1.0
"{'lr': 0.0003, 'gamma': 0.5, 'batch_size': 128, 'hidden_dim': 1024, 'w_tox': 100.0, 'w_flip': 150.0, 'w_pen': 50.0}",0.2753623188405797,0.30008525149190113,0.7389073307881353,0.5664177805266671,1.0
"{'lr': 0.0003, 'gamma': 0.5, 'batch_size': 128, 'hidden_dim': 1024, 'w_tox': 100.0, 'w_flip': 200.0, 'w_pen': 25.0}",0.3052003410059676,0.34185848252344414,0.7295510302696928,0.5615749568725087,1.0
"{'lr': 0.0003, 'gamma': 0.5, 'batch_size': 128, 'hidden_dim': 1024, 'w_tox': 100.0, 'w_flip': 200.0, 'w_pen': 50.0}",0.3009377664109122,0.33248081841432225,0.7398509126239355,0.5820190037826452,1.0
"{'lr': 0.0003, 'gamma': 0.5, 'batch_size': 128, 'hidden_dim': 1024, 'w_tox': 100.0, 'w_flip': 300.0, 'w_pen': 25.0}",0.27450980392156865,0.30264279624893436,0.7423315565547135,0.5328893871161645,1.0
"{'lr': 0.0003, 'gamma': 0.5, 'batch_size': 128, 'hidden_dim': 1024, 'w_tox': 100.0, 'w_flip': 300.0, 'w_pen': 50.0}",0.23017902813299232,0.2514919011082694,0.7445818230537449,0.5201219753994379,1.0
