params,strict_success,loose_success,avg_sim_success,avg_steps
"{'lr': 0.0003, 'gamma': 0.1, 'batch_size': 256, 'hidden_dim': 256}",0.20545609548167093,0.22847399829497017,0.7463712371455494,1.0
"{'lr': 0.0003, 'gamma': 0.1, 'batch_size': 256, 'hidden_dim': 512}",0.28218243819266836,0.319693094629156,0.7295945738562584,1.0
"{'lr': 0.0003, 'gamma': 0.1, 'batch_size': 256, 'hidden_dim': 1024}",0.21057118499573743,0.2259164535379369,0.7580275264906284,1.0
"{'lr': 0.0003, 'gamma': 0.1, 'batch_size': 256, 'hidden_dim': 2048}",0.24893435635123615,0.2753623188405797,0.7372584263204431,1.0
"{'lr': 0.0003, 'gamma': 0.5, 'batch_size': 64, 'hidden_dim': 256}",0.16965046888320545,0.18329070758738278,0.7562478857970001,1.0
"{'lr': 0.0003, 'gamma': 0.5, 'batch_size': 64, 'hidden_dim': 512}",0.2830349531116795,0.3188405797101449,0.725555592352109,1.0
"{'lr': 0.0003, 'gamma': 0.5, 'batch_size': 64, 'hidden_dim': 1024}",0.2932651321398124,0.3273657289002558,0.7290593661769993,1.0
"{'lr': 0.0003, 'gamma': 0.5, 'batch_size': 64, 'hidden_dim': 2048}",0.2753623188405797,0.3009377664109122,0.7360048176724331,1.0
"{'lr': 0.0003, 'gamma': 0.5, 'batch_size': 128, 'hidden_dim': 256}",0.289002557544757,0.3248081841432225,0.7258274288890633,1.0
"{'lr': 0.0003, 'gamma': 0.5, 'batch_size': 128, 'hidden_dim': 512}",0.21909633418584826,0.23358908780903667,0.759957775127757,1.0
"{'lr': 0.0003, 'gamma': 0.5, 'batch_size': 128, 'hidden_dim': 1024}",0.23955669224211423,0.2625745950554135,0.7432932821281658,1.0
"{'lr': 0.0003, 'gamma': 0.5, 'batch_size': 128, 'hidden_dim': 2048}",0.27621483375959077,0.2958226768968457,0.7463982231736167,1.0
"{'lr': 0.0003, 'gamma': 0.5, 'batch_size': 256, 'hidden_dim': 256}",0.26768968456947995,0.30008525149190113,0.7295189508809866,1.0
"{'lr': 0.0003, 'gamma': 0.5, 'batch_size': 256, 'hidden_dim': 512}",0.25404944586530265,0.29241261722080136,0.7257606118495329,1.0
"{'lr': 0.0003, 'gamma': 0.5, 'batch_size': 256, 'hidden_dim': 1024}",0.2813299232736573,0.3052003410059676,0.7413452670729368,1.0
"{'lr': 0.0003, 'gamma': 0.5, 'batch_size': 256, 'hidden_dim': 2048}",0.24552429667519182,0.2651321398124467,0.745195789148701,1.0
"{'lr': 0.0003, 'gamma': 0.9, 'batch_size': 64, 'hidden_dim': 256}",0.25234441602728047,0.2813299232736573,0.7323193330588069,1.0
"{'lr': 0.0003, 'gamma': 0.9, 'batch_size': 64, 'hidden_dim': 512}",0.27024722932651324,0.30605285592497866,0.7288465377849594,1.0
"{'lr': 0.0003, 'gamma': 0.9, 'batch_size': 64, 'hidden_dim': 1024}",0.29752770673486784,0.33248081841432225,0.7309924503931639,1.0
"{'lr': 0.0003, 'gamma': 0.9, 'batch_size': 64, 'hidden_dim': 2048}",0.26427962489343565,0.2958226768968457,0.7393854722563842,1.0
"{'lr': 0.0003, 'gamma': 0.9, 'batch_size': 128, 'hidden_dim': 256}",0.28388746803069054,0.30861040068201195,0.738194527917583,1.0
"{'lr': 0.0003, 'gamma': 0.9, 'batch_size': 128, 'hidden_dim': 512}",0.309462915601023,0.3512361466325661,0.7296362207279663,1.0
"{'lr': 0.0003, 'gamma': 0.9, 'batch_size': 128, 'hidden_dim': 1024}",0.2728047740835465,0.30861040068201195,0.7240915605513386,1.0
